EZE,Richtung,Year,Energie
BIEUDRON-AS,EZE Leistung absenken,2019,37
BIEUDRON-AS,EZE Leistung erhöhen,2019,61
BIEUDRON-AS,EZE Leistung erhöhen,2022,35
CKW-FMM-SDL---AS,EZE Leistung erhöhen,2019,32
KHR-AS,EZE Leistung erhöhen,2022,26
KLL-AS,EZE Leistung absenken,2019,21
KLL-AS,EZE Leistung erhöhen,2019,26
KLL-AS,EZE Leistung erhöhen,2021,21
KSL-MAPRAGG-AS,EZE Leistung absenken,2019,33
KW-BLENIO-AS,EZE Leistung erhöhen,2022,21
KW-ROBIEI-AS,EZE Leistung absenken,2019,39
KWO-HANDECK-AS,EZE Leistung absenken,2019,27
KWO-HANDECK-AS,EZE Leistung erhöhen,2019,32
KWO-INNERTKIR-AS,EZE Leistung absenken,2019,29
KWO-INNERTKIR-AS,EZE Leistung erhöhen,2019,28
PKW-NANTDRANC-AS,EZE Leistung erhöhen,2022,21
PKW-VEYTAUX2-AS,EZE Leistung absenken,2019,31
PSKW-LIMMERN-AS,EZE Leistung absenken,2019,44
PSKW-LIMMERN-AS,EZE Leistung erhöhen,2021,21
PSKW-LIMMERN-AS,EZE Leistung erhöhen,2022,50
TRE-CH,EZE Leistung absenken,2021,48
TRE-CH,EZE Leistung erhöhen,2020,89
TRE-CH,EZE Leistung erhöhen,2021,276
TRE-CH,EZE Leistung erhöhen,2022,605
VEYTAUX-AS,EZE Leistung absenken,2019,50
VEYTAUX-AS,EZE Leistung erhöhen,2019,40
